danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,mood
0.639,0.00288,0.974,0.596,0.349,0.353,-4.13,0.057,130,Happy
0.368,3.44E-05,0.967,3.44E-05,0.317,0.537,-3.464,0.0566,194.982,Energetic
0.567,0.839,0.267,1.46E-06,0.089,0.0592,-6.502,0.0299,110.011,Sad
0.332,0.954,0.255,0.752,0.0784,0.134,-13.698,0.0309,187.786,Sad
0.537,0.899,0.201,0.00163,0.077,0.196,-12.948,0.033,134.087,Sad
0.468,0.00014,0.769,0.00124,0.271,0.17,-7.036,0.041,104.102,Energetic
0.7,0.113,0.751,0.00129,0.241,0.246,-3.853,0.0566,124.027,Energetic
0.491,0.000285,0.831,7.88E-05,0.0761,0.828,-5.321,0.0349,193.968,Happy
0.411,0.103,0.962,0,0.529,0.622,-5.952,0.0917,173.143,Energetic
0.416,0.882,0.11,0.873,0.116,0.347,-13.776,0.0423,120.024,Calm
0.579,0.73,0.411,0.8,0.0945,0.125,-13.068,0.0329,79.988,Sad
0.474,0.973,0.161,0.907,0.113,0.357,-20.952,0.043,82.892,Calm
0.42,0.98,0.135,0.941,0.0974,0.155,-20.518,0.0815,118.9,Calm
0.587,0.379,0.713,0.439,0.332,0.816,-8.858,0.0268,130.05,Sad
0.5,0.671,0.185,0,0.0827,0.159,-13.209,0.0302,140.148,Sad
0.428,0.985,0.0517,0.945,0.11,0.13,-21.74,0.0548,111.311,Calm
0.609,0.017,0.912,0.0335,0.44,0.533,-3.823,0.0486,128,Energetic
0.205,0.98,0.202,0.85,0.128,0.086,-15.952,0.0427,113.057,Calm
0.2,0.896,0.138,0.929,0.207,0.138,-20.417,0.0301,71.631,Calm
0.614,0.521,0.498,0.855,0.136,0.418,-14.325,0.0466,120.003,Sad
0.532,0.000312,0.664,0.0427,0.303,0.075,-9.804,0.0603,128.973,Energetic
0.273,0.238,0.161,0.481,0.133,0.0503,-17.727,0.053,113.89,Calm
0.475,0.995,0.109,0.948,0.127,0.405,-29.839,0.0303,99.008,Calm
0.517,0.901,0.397,0.867,0.11,0.195,-14.281,0.0289,100.005,Calm
0.481,0.0238,0.922,0.00185,0.0971,0.246,-4.17,0.064,127.931,Happy
0.64,0.000211,0.667,0.899,0.0748,0.288,-10.19,0.0379,122.994,Happy
0.526,0.00126,0.763,6.75E-05,0.359,0.514,-12.663,0.0341,136.205,Happy
0.467,0.00578,0.876,0.00592,0.0453,0.131,-4.841,0.0693,135.055,Energetic
0.352,0.986,0.0246,0.928,0.107,0.174,-27.226,0.0419,78.809,Calm
0.312,0.994,0.00811,0.961,0.1,0.0703,-30.381,0.0389,115.486,Calm
0.534,8.05E-05,0.957,0.758,0.266,0.52,-4.025,0.0455,95.046,Happy
0.478,4.65E-05,0.942,0.0336,0.061,0.726,-2.71,0.08,173.515,Energetic
0.481,0.688,0.6,0.00633,0.963,0.818,-8.722,0.0801,124.637,Happy
0.794,0.0426,0.811,1.07E-06,0.101,0.862,-8.966,0.038,116.047,Happy
0.883,0.225,0.664,2.30E-06,0.941,0.8,-10.395,0.411,118.104,Happy
